net,length_um
_0587_,2.155
_0258_,2.13
_0262_,2.13
_0397_,2.13
_0446_,2.13
_0693_,2.13
_0861_,2.13
_0975_,2.13
_0983_,2.13
_0398_,2.06
_0004_,2.035
_0279_,2.035
_0390_,2.035
_0417_,2.035
_0419_,2.035
_0426_,2.035
_0022_,1.915
_0185_,1.915
_0075_,1.82
_0084_,1.82
_0087_,1.82
_0093_,1.82
_0105_,1.82
_0124_,1.82
_0154_,1.82
_0175_,1.82
_0183_,1.82
_0194_,1.82
_0236_,1.82
_0018_,1.79
_0283_,1.79
_0285_,1.79
_0307_,1.79
_0309_,1.79
_0328_,1.79
_0341_,1.79
_0422_,1.79
_0334_,1.76
_0507_,1.695
_0675_,1.695
_0027_,1.575
_0029_,1.575
_0055_,1.575
_0067_,1.575
_0099_,1.575
_0126_,1.575
_0157_,1.575
_0199_,1.575
_0232_,1.575
_0251_,1.575
_0517_,1.45
_0613_,1.45
